Date,Team 1,Team 2,FT,HT
2010-08-13,Sp Braga,Portimonense,3-1,2-0
2010-08-14,Maritimo,Setubal,0-1,0-0
2010-08-14,Naval,Porto,0-1,0-0
2010-08-14,Pacos Ferreira,Sp Lisbon,1-0,0-0
2010-08-15,Beira Mar,Leiria,0-0,0-0
2010-08-15,Benfica,Academica,1-2,0-1
2010-08-15,Rio Ave,Nacional,0-1,0-0
2010-08-16,Olhanense,Guimaraes,0-0,0-0
2010-08-20,Academica,Olhanense,1-1,0-0
2010-08-21,Nacional,Benfica,2-1,0-0
2010-08-21,Setubal,Sp Braga,0-0,0-0
2010-08-22,Leiria,Pacos Ferreira,0-0,0-0
2010-08-22,Portimonense,Naval,0-1,0-1
2010-08-22,Porto,Beira Mar,3-0,2-0
2010-08-22,Sp Lisbon,Maritimo,1-0,0-0
2010-08-23,Guimaraes,Rio Ave,0-0,0-0
2010-08-28,Benfica,Setubal,3-0,2-0
2010-08-28,Nacional,Guimaraes,1-3,0-0
2010-08-29,Beira Mar,Academica,2-1,1-0
2010-08-29,Olhanense,Leiria,1-0,1-0
2010-08-29,Pacos Ferreira,Portimonense,2-2,0-1
2010-08-29,Rio Ave,Porto,0-2,0-1
2010-08-29,Sp Braga,Maritimo,1-0,1-0
2010-08-30,Naval,Sp Lisbon,1-3,0-1
2010-09-10,Guimaraes,Benfica,2-1,1-1
2010-09-11,Porto,Sp Braga,3-2,1-1
2010-09-11,Sp Lisbon,Olhanense,0-0,0-0
2010-09-12,Academica,Naval,3-0,1-0
2010-09-12,Leiria,Nacional,2-1,0-0
2010-09-12,Maritimo,Pacos Ferreira,1-1,0-1
2010-09-12,Portimonense,Rio Ave,3-1,2-0
2010-09-13,Setubal,Beira Mar,0-0,0-0
2010-09-17,Olhanense,Portimonense,2-0,1-0
2010-09-18,Beira Mar,Maritimo,1-1,0-1
2010-09-18,Guimaraes,Leiria,1-0,0-0
2010-09-19,Benfica,Sp Lisbon,2-0,1-0
2010-09-19,Naval,Setubal,0-0,0-0
2010-09-19,Pacos Ferreira,Sp Braga,2-2,0-1
2010-09-19,Rio Ave,Academica,2-2,1-0
2010-09-20,Nacional,Porto,0-2,0-1
2010-09-24,Sp Braga,Naval,3-1,1-0
2010-09-25,Academica,Guimaraes,3-1,0-0
2010-09-25,Maritimo,Benfica,0-1,0-0
2010-09-25,Porto,Olhanense,2-0,2-0
2010-09-26,Leiria,Rio Ave,1-0,0-0
2010-09-26,Portimonense,Beira Mar,1-0,0-0
2010-09-26,Sp Lisbon,Nacional,1-1,0-0
2010-09-27,Setubal,Pacos Ferreira,1-0,1-0
2010-10-01,Leiria,Academica,2-1,0-1
2010-10-02,Olhanense,Setubal,3-1,2-0
2010-10-03,Benfica,Sp Braga,1-0,0-0
2010-10-03,Nacional,Portimonense,3-1,1-1
2010-10-03,Naval,Pacos Ferreira,1-2,1-0
2010-10-03,Rio Ave,Maritimo,0-0,0-0
2010-10-04,Beira Mar,Sp Lisbon,1-1,1-1
2010-10-04,Guimaraes,Porto,1-1,0-1
2010-10-22,Academica,Nacional,2-1,2-0
2010-10-23,Pacos Ferreira,Beira Mar,1-1,1-0
2010-10-23,Setubal,Guimaraes,2-1,2-0
2010-10-23,Sp Braga,Olhanense,3-1,0-1
2010-10-24,Maritimo,Naval,1-0,0-0
2010-10-24,Portimonense,Benfica,0-1,0-0
2010-10-24,Sp Lisbon,Rio Ave,1-0,0-0
2010-10-25,Porto,Leiria,5-1,3-0
2010-10-29,Benfica,Pacos Ferreira,2-0,1-0
2010-10-30,Academica,Porto,0-1,0-1
2010-10-30,Rio Ave,Sp Braga,2-0,0-0
2010-10-31,Beira Mar,Naval,3-1,2-0
2010-10-31,Leiria,Sp Lisbon,1-2,1-2
2010-10-31,Nacional,Setubal,1-0,1-0
2010-10-31,Olhanense,Maritimo,1-1,0-1
2010-11-01,Guimaraes,Portimonense,2-0,1-0
2010-11-05,Setubal,Rio Ave,3-3,1-2
2010-11-06,Pacos Ferreira,Nacional,0-1,0-0
2010-11-06,Portimonense,Academica,2-2,0-2
2010-11-07,Maritimo,Leiria,1-1,0-0
2010-11-07,Naval,Olhanense,1-1,1-0
2010-11-07,Porto,Benfica,5-0,3-0
2010-11-07,Sp Braga,Beira Mar,2-3,0-1
2010-11-08,Sp Lisbon,Guimaraes,2-3,2-0
2010-11-12,Nacional,Maritimo,0-0,0-0
2010-11-13,Academica,Sp Lisbon,1-2,0-2
2010-11-13,Guimaraes,Sp Braga,2-1,1-1
2010-11-14,Benfica,Naval,4-0,1-0
2010-11-14,Leiria,Setubal,1-0,1-0
2010-11-14,Olhanense,Beira Mar,1-1,1-0
2010-11-14,Porto,Portimonense,2-0,1-0
2010-11-14,Rio Ave,Pacos Ferreira,3-1,2-1
2010-11-26,Setubal,Academica,0-1,0-1
2010-11-27,Maritimo,Guimaraes,2-0,2-0
2010-11-27,Pacos Ferreira,Olhanense,1-0,1-0
2010-11-27,Sp Lisbon,Porto,1-1,1-0
2010-11-28,Beira Mar,Benfica,1-3,0-1
2010-11-28,Naval,Rio Ave,0-1,0-1
2010-11-28,Sp Braga,Nacional,2-0,0-0
2010-11-29,Portimonense,Leiria,1-2,0-1
2010-12-03,Benfica,Olhanense,2-0,1-0
2010-12-04,Guimaraes,Pacos Ferreira,1-1,1-0
2010-12-04,Leiria,Sp Braga,3-1,2-1
2010-12-05,Portimonense,Sp Lisbon,1-3,1-3
2010-12-05,Rio Ave,Beira Mar,1-1,0-0
2010-12-06,Porto,Setubal,1-0,1-0
2010-12-07,Nacional,Naval,2-1,0-1
2010-12-08,Academica,Maritimo,1-5,0-1
2010-12-17,Sp Braga,Academica,5-0,3-0
2010-12-18,Beira Mar,Guimaraes,3-2,1-0
2010-12-18,Benfica,Rio Ave,5-2,2-1
2010-12-19,Maritimo,Portimonense,1-1,0-0
2010-12-19,Naval,Leiria,0-3,0-1
2010-12-19,Olhanense,Nacional,0-0,0-0
2010-12-19,Pacos Ferreira,Porto,0-3,0-1
2010-12-20,Setubal,Sp Lisbon,0-3,0-2
2011-01-07,Portimonense,Setubal,3-4,2-1
2011-01-08,Porto,Maritimo,4-1,1-0
2011-01-08,Sp Lisbon,Sp Braga,2-1,2-1
2011-01-09,Academica,Pacos Ferreira,0-0,0-0
2011-01-09,Guimaraes,Naval,1-2,1-0
2011-01-09,Leiria,Benfica,0-3,0-1
2011-01-09,Nacional,Beira Mar,0-0,0-0
2011-01-09,Rio Ave,Olhanense,0-1,0-1
2011-01-14,Portimonense,Sp Braga,0-3,0-0
2011-01-15,Guimaraes,Olhanense,1-0,0-0
2011-01-15,Sp Lisbon,Pacos Ferreira,2-3,1-2
2011-01-16,Academica,Benfica,0-1,0-1
2011-01-16,Leiria,Beira Mar,0-3,0-1
2011-01-16,Nacional,Rio Ave,1-0,0-0
2011-01-16,Porto,Naval,3-1,2-0
2011-01-16,Setubal,Maritimo,2-4,1-1
2011-01-22,Beira Mar,Porto,0-1,0-1
2011-01-22,Benfica,Nacional,4-2,2-0
2011-01-22,Naval,Portimonense,1-1,0-1
2011-01-22,Olhanense,Academica,2-1,1-1
2011-01-22,Pacos Ferreira,Leiria,1-1,0-0
2011-01-22,Rio Ave,Guimaraes,2-3,0-1
2011-01-22,Sp Braga,Setubal,2-2,0-2
2011-01-24,Maritimo,Sp Lisbon,0-3,0-1
2011-01-26,Porto,Nacional,3-0,3-0
2011-02-04,Sp Lisbon,Naval,3-3,1-2
2011-02-05,Maritimo,Sp Braga,1-2,1-1
2011-02-06,Academica,Beira Mar,3-3,1-1
2011-02-06,Guimaraes,Nacional,0-0,0-0
2011-02-06,Leiria,Olhanense,0-2,0-2
2011-02-06,Portimonense,Pacos Ferreira,0-1,0-0
2011-02-06,Porto,Rio Ave,1-0,1-0
2011-02-06,Setubal,Benfica,0-2,0-1
2011-02-12,Nacional,Leiria,0-1,0-1
2011-02-12,Olhanense,Sp Lisbon,2-2,0-1
2011-02-13,Benfica,Guimaraes,3-0,1-0
2011-02-13,Naval,Academica,3-1,2-0
2011-02-13,Pacos Ferreira,Maritimo,1-0,0-0
2011-02-13,Rio Ave,Portimonense,2-0,0-0
2011-02-13,Sp Braga,Porto,0-2,0-1
2011-02-14,Beira Mar,Setubal,0-0,0-0
2011-02-18,Leiria,Guimaraes,0-1,0-1
2011-02-19,Portimonense,Olhanense,1-1,1-0
2011-02-20,Academica,Rio Ave,0-1,0-0
2011-02-20,Maritimo,Beira Mar,1-0,0-0
2011-02-20,Setubal,Naval,1-1,1-0
2011-02-20,Sp Braga,Pacos Ferreira,1-2,1-2
2011-02-21,Sp Lisbon,Benfica,0-2,0-1
2011-02-25,Guimaraes,Academica,0-2,0-0
2011-02-26,Olhanense,Porto,0-3,0-0
2011-02-26,Pacos Ferreira,Setubal,2-0,1-0
2011-02-27,Beira Mar,Portimonense,0-1,0-0
2011-02-27,Benfica,Maritimo,2-1,0-0
2011-02-27,Nacional,Sp Lisbon,1-0,1-0
2011-02-27,Rio Ave,Leiria,1-0,1-0
2011-02-28,Naval,Sp Braga,0-0,0-0
2011-03-04,Academica,Leiria,0-0,0-0
2011-03-05,Porto,Guimaraes,2-0,0-0
2011-03-06,Maritimo,Rio Ave,0-1,0-0
2011-03-06,Setubal,Olhanense,0-0,0-0
2011-03-06,Sp Braga,Benfica,2-1,1-1
2011-03-06,Sp Lisbon,Beira Mar,1-0,0-0
2011-03-07,Pacos Ferreira,Naval,0-0,0-0
2011-03-07,Portimonense,Nacional,1-1,0-0
2011-03-11,Beira Mar,Pacos Ferreira,3-1,1-0
2011-03-12,Guimaraes,Setubal,1-1,1-0
2011-03-12,Rio Ave,Sp Lisbon,0-0,0-0
2011-03-13,Benfica,Portimonense,1-1,0-1
2011-03-13,Nacional,Academica,1-1,0-0
2011-03-13,Naval,Maritimo,0-3,0-2
2011-03-14,Leiria,Porto,0-2,0-0
2011-03-18,Portimonense,Guimaraes,2-1,1-1
2011-03-19,Sp Lisbon,Leiria,0-0,0-0
2011-03-20,Maritimo,Olhanense,4-0,2-0
2011-03-20,Naval,Beira Mar,2-2,0-2
2011-03-20,Porto,Academica,3-1,0-1
2011-03-20,Setubal,Nacional,2-1,1-0
2011-03-21,Pacos Ferreira,Benfica,1-5,1-3
2011-03-21,Sp Braga,Rio Ave,1-0,0-0
2011-03-27,Olhanense,Sp Braga,0-2,0-1
2011-04-01,Leiria,Maritimo,1-3,0-1
2011-04-02,Academica,Portimonense,1-0,0-0
2011-04-02,Beira Mar,Sp Braga,1-2,1-0
2011-04-03,Benfica,Porto,1-2,1-2
2011-04-03,Guimaraes,Sp Lisbon,1-1,0-1
2011-04-03,Olhanense,Naval,1-3,0-0
2011-04-03,Rio Ave,Setubal,2-0,1-0
2011-04-04,Nacional,Pacos Ferreira,1-0,0-0
2011-04-08,Maritimo,Nacional,1-1,1-0
2011-04-09,Sp Lisbon,Academica,2-0,2-0
2011-04-10,Beira Mar,Olhanense,1-0,0-0
2011-04-10,Naval,Benfica,2-1,1-1
2011-04-10,Pacos Ferreira,Rio Ave,1-6,1-0
2011-04-10,Portimonense,Porto,2-3,0-0
2011-04-10,Setubal,Leiria,4-1,1-0
2011-04-11,Sp Braga,Guimaraes,3-1,0-0
2011-04-15,Academica,Setubal,1-1,1-0
2011-04-16,Guimaraes,Maritimo,2-0,0-0
2011-04-16,Olhanense,Pacos Ferreira,0-0,0-0
2011-04-17,Benfica,Beira Mar,2-1,0-0
2011-04-17,Leiria,Portimonense,0-1,0-0
2011-04-17,Porto,Sp Lisbon,3-2,1-1
2011-04-17,Rio Ave,Naval,1-0,1-0
2011-04-18,Nacional,Sp Braga,1-1,0-0
2011-04-29,Pacos Ferreira,Guimaraes,2-1,1-1
2011-04-30,Sp Lisbon,Portimonense,2-1,2-0
2011-05-01,Beira Mar,Rio Ave,1-1,1-0
2011-05-01,Maritimo,Academica,1-0,1-0
2011-05-01,Naval,Nacional,1-2,1-2
2011-05-01,Olhanense,Benfica,1-1,0-1
2011-05-01,Setubal,Porto,0-4,0-2
2011-05-01,Sp Braga,Leiria,0-0,0-0
2011-05-08,Academica,Sp Braga,0-0,0-0
2011-05-08,Guimaraes,Beira Mar,1-0,0-0
2011-05-08,Leiria,Naval,1-0,0-0
2011-05-08,Nacional,Olhanense,0-1,0-0
2011-05-08,Portimonense,Maritimo,1-0,0-0
2011-05-08,Porto,Pacos Ferreira,3-3,2-0
2011-05-08,Rio Ave,Benfica,1-2,0-2
2011-05-08,Sp Lisbon,Setubal,0-1,0-0
2011-05-14,Beira Mar,Nacional,0-2,0-1
2011-05-14,Benfica,Leiria,3-3,1-1
2011-05-14,Maritimo,Porto,0-2,0-2
2011-05-14,Naval,Guimaraes,0-3,0-2
2011-05-14,Olhanense,Rio Ave,2-2,0-1
2011-05-14,Pacos Ferreira,Academica,5-1,5-0
2011-05-14,Setubal,Portimonense,3-1,1-1
2011-05-14,Sp Braga,Sp Lisbon,0-1,0-1
